1 SGM
Babar Pur
Babarpur Ajitmal
Baberu
Babhulgaon
Babina
Babiyal
Bablari Dewanganj
Babrala
Babua Kalan
Babugarh
Bachhraon
Bachhrawan
Bad
Bada Malhera
Badagaon
Badagoan
Badami
Badami Bagh
Badarpur
Badarpur Rly Town
Badarwas
Badawada
Baddi
Bade Bacheli
Badepalle
Badgam
Badhagachhi
Badharghat
Badhni Kalan
Badi
Badkuhi
Badlapur
Badnagar
Badnawar
Badod
Badoda
Badra
Badrinathpuri
Baduria
Bagaha
Bagalkot
Bagasara
Bagbahara
Bagbera
Bagepalli
Bageshwar
Baggar
Bagh
Bagha Purana
Baghmara
Baghpat
Bagli
Bagnan
Bagru
Bah
Bahadurganj
Bahadurganj
Bahadurgarh
Baharampur
Bahbari Gaon
Baheri
Bahirgram
Bahjoi
Bahraich
Bahsuma
Bahula
Bahuwa
Baidyabati
Baihar
Baikunthpur
Baikunthpur
Bail Hongal
Bairabi
Bairatisal
Bairgania
Bajala
Bajna
Bajpe
Bajpur
Bajva
Bakani
Bakewar
Bakhtiarpur
Bakiabad
Bakloh
Balachaur
Balaghat
Balagoda (Bolani)
Balakrishnampatti
Balakrishnapuram
Balangir
Balapallam
Balapur
Balaram Pota
Balarampur
Balarampur
Balasamudram
Balasinor
Baldeo
Baldeogarh
Baleshwar
Bali
Baliari
Balichak
Balimela
Balkundra
Ballarpur
Ballavpur
Ballia
Bally
Bally
Balod
Baloda
Baloda Bazar
Balotra
Balrampur
Balugaon
Balurghat
Bambolim
Bamhani
Bamor
Bamora
Bamun Sualkuchi
Bamunari
Banapur
Banarhat Tea Garden
Banarsi
Banat
Banaur
Banbasa
Banda
Banda
Bandarulanka
Bandhgora
Bandia
Bandikui
Bandipore
Bandora
Banga
Bangalore
Bangaon
Bangarapet
Bangarmau
Bangawan
Bangramanjeshwar
Bangura
Banihal
Banjar
Banka
Bankapura
Banki
Banki
Bankner
Bankra
Bankura
Banmankhi Bazar
Bannur
Bansatar Kheda
Bansberia
Bansdih
Bansgaon
Banshra
Bansi
Banswara
Bantwa
Bantwal
Banupur
Bapatla
Bara Bamonia
Barabazar
Baragaon
Baragaon
Barahiya
Baraily
Barajamda
Baramati
Baramula
Baran
Baranagar
Barapali
Barasat
Barauli
Barauni IOC Township
Baraut
Barbari (AMC Area)
Barbigha
Barbil
Barddhaman
Bardoli
Bareilly
Bareilly
Barela
Baretta
Bargarh
Barghat
Bargur
Barh
Barhalganj
Barhani Bazar
Barhi
Barhi
Bari
Bari Brahmana
Bari Sadri
Barigarh
Barijhati
Baripada
Bariwala
Barjora
Barkakana
Barkhera
Barkot
Barmer
Barnala
Barpathar
Barpeta
Barpeta Road
Barrackpur
Barrackpur Cantonment
Barsana
Barshi
Barua Sagar
Barughutu
Baruihuda
Baruipur
Barwadih
Barwaha
Barwala
Barwani
Barwar
Basar
Basaria
Basavakalyan
Basavana Bagevadi
Bashohli
Basirhat
Baska
Basmath
Basna
Basni Belima
Basoda
Bassi Pathana
Basti
Basudebpur
Basugaon
Basukinath
Batala
Bathinda
Batlagundu
Batote
Baudhgarh
Bavla
Bawal
Bawana
Bawani Khera
Bayana
Beawar
Bedi
Beejoliya Kalan
Beerwah
Begamganj
Begampur
Begowal
Begum Pur
Begumabad Budhana
Begun
Begusarai
Behat
Behea
Behror
Behta Hajipur
Bela Pratapgarh
Belagachhia
Beldanga
Beldubi
Belebathan
Belgaum
Belgaum Cantonment
Beliatore
Bellaguntha
Bellampalle
Bellary
Belonia
Belpahar
Belsand
Beltangadi
Belthara Road
Belur
Belur
Belvata
Bemetra
Benaulim
Beniganj
Beohari
Berasia
Beri
Bermo
Bestavaripeta
Beswan
Bethamcheria
Betma
Bettiah
Betul
Betul-Bazar
Bewar
Beypore
Bhabat
Bhabua
Bhachau
Bhadarsa
Bhadaur
Bhaderwah
Bhadohi
Bhadra
Bhadrachalam
Bhadrak
Bhadravati
Bhadravati
Bhadreswar
Bhagalpur (M.Corp)
Bhagatdih
Bhagur
Bhagwant Nagar
Bhainsa
Bhainsdehi
Bhalariya
Bhalki
Bhalswa Jahangir Pur
Bhamodi
Bhandara
Bhandardaha
Bhander
Bhangar Raghunathpur
Bhangri Pratham Khanda
Bhanjanagar
Bhankharpur
Bhanowara
Bhanpura
Bhanpuri
Bhanvad
Bharat Heavy Electrical Limited Ranipur
Bharatganj
Bharatpur
Bhargain
Bharoli Kalan
Bharthana
Bharuch
Bharuch INA
Bharuhana
Bharveli
Bharwari
Bhatapara
Bhatgaon
Bhati
Bhatkal
Bhatni Bazar
Bhatpar Rani
Bhatpara
Bhaurasa
Bhavani
Bhavanisagar
Bhavnagar
Bhavra
Bhawan Bahadur Nagar
Bhawani Mandi
Bhawanigarh
Bhawanipatna
Bhayavadar
Bhedaghat
Bheemavaram
Bheemunipatnam
Bhikangaon
Bhikhi
Bhikhiwind
Bhilai Charoda
Bhilai Nagar
Bhilakhedi
Bhilwara
Bhimarayanagudi
Bhimtal
Bhind
Bhinder
Bhinga
Bhingar
Bhinmal
Bhisiana
Bhitarwar
Bhiwadi
Bhiwandi
Bhiwani
Bhogadi
Bhogaon
Bhogpur
Bhojpur Dharampur
Bhojudih
Bhokardan
Bhokarhedi
Bholar Dabri
Bhongir
Bhopal
Bhor
Bhota
Bhowali
Bhowrah
Bhuban
Bhubaneswar
Bhucho Mandi
Bhuj
Bhulath
Bhulepur
Bhuli
Bhum
Bhuntar
Bhusawal
Bhusawar
Bhuvanagiri
Biaora
Biate
Bicholim
Bid
Bidar
Bidasar
Bidhan Nagar
Bidhuna
Bighapur
Bihar
Bihpuria
Bijapur
Bijawar
Bijbehara
Bijeypur
Bijni
Bijnor
Bijpur
Bijuri
Bikaner
Bikapur
Bikihakola
Bikketti
Bikramganj
Bilandapur
Bilara
Bilari
Bilariaganj
Bilasipara
Bilaspur
Bilaspur
Bilaspur
Bilaspur
Bilaspur
Bilaua
Bilgi
Bilgram
Bilha
Bilhaur
Bilimora
Billawar
Biloli
Bilpahari
Bilpura
Bilram
Bilsanda
Bilsi
Bina Etawa
Bina Rly Colony
Bindki
Binika
Bipra  Noapara
Biramitrapur
Birgaon
Birlapur
Birnagar
Birpur
Birsinghpur
Birur
Birwadi
Bisalpur
Bisanda Buzurg
Bisauli
Bishama Katek
Bisharatganj
Bishna
Bishnupur
Bishnupur
Bishnupur
Bisokhar
Bissau
Biswan
Biswanath Chariali
Bithoor
Bobbili
Boda
Bodeli
Bodh Gaya
Bodhan
Bodinayakkanur
Bodri
Bohari
Boisar
Bokajan
Bokakhat
Bokaro
Bokaro Steel City
Bollaram
Bolpur
Bombooflat
Bomdila
Bommanahalli
Bommasandra
Bongaigaon
"Bongaigaon, Refinery & Petro-chemical Ltd. Township"
Boothapandi
Boothipuram
Bopal
Borgolai Grant No.11
Boriavi
Borsad
Botad
Bowali
Brahmakulam
Brahmana Periya-Agraharam
Brahmapur
Brahmapuri
Brajarajnagar
Budaun
Budge Budge
Budha Theh
Budhana
Budhgaon
Budhlada
Budhni
Budhpura
Bugganipalle
Bugrasi
Buguda
Bulandshahr
Buldana
Bundi
Bundu
Burari
Burhanpur
Burhar
Buria
Burla
Buxar
Buxwaha
Byadgi
Byasanagar
Byatarayanapura
Calangute
Calapor
Canacona
Candolim
Carapur
Cart Road
Chabua
Chachanda
Chachaura-Binaganj
Chaibasa
Chail
Chak Bankola
Chak Bansberia
Chak Enayetnagar
Chak Imam Ali
Chak Kashipur
Chakan
Chakapara
Chakdaha
Chakeri
Chakghat
Chakia
Chakia
Chaklasi
Chakradharpur
Chakrata
Chaksu
Chakulia
Chala
Chala
Chalakudy
Chalala
Chalisgaon
Challakere
Chalthan
Chamba
Chamba
Chamoli Gopeshwar
Champa
Champawat
Champdani
Champhai
Champua
Chamrail
Chamrajnagar
Chanasma
Chandameta-Butaria
Chandannagar
Chandapur
Chandauli
Chandaur
Chandausi
Chanderi
Chandia
Chandigarh
Chandil
Chandili
Chandkheda
Chandla
Chandlodiya
Chandpur
Chandpur
Chandrakona
Chandrapur
Chandrapur Bagicha
Chandrapura
Chandur
Chandur
Chandur
Chandurbazar
Changanassery
Changlang
Channagiri
Channapatna
Channarayapattana
Chanod
Chanpatia
Chapar
Chapari
Chapra
Chapui
Char Brahmanagar
Char Maijdia
Charari Sharief
Charibatia
Charka
Charkhari
Charkhi Dadri
Charthaval
Chas
Chata Kalikapur
Chatakonda
Chatra
Chaumuhan
Chaupal
Chaurai Khas
Chavakkad
Chechakhata
Chechat
Cheeka
Cheema
Chekonidhara
Chelad
Chelora
Chemmumiahpet
Chenani
Chendamangalam
Chengalpattu
Chengam
Chengamanad
Chengannur
Chennai
Chennasamudram
Chennimalai
Cheranallur
Cheranmadevi
Cherapunjee
Cherthala
Cheruthazham
Cheruvannur
Chetpet
Chettiarpatti
Chettipalayam
Chettipalayam
Chettithangal
Chevvoor
Chhabra
Chhachhrauli
Chhapar
Chhaprabhatha
Chhaprauli
Chharchha
Chharra Rafatpur
Chhata
Chhatari
Chhatarpur
Chhatatanr
Chhatral INA
Chhatrapur
Chhawla
Chhaya
Chhibramau
Chhindwara
Chhipabarod
Chhora
Chhota Chhindwara (Gotegaon)
Chhota Gobindpur
Chhota Udaipur
Chhotaputki
Chhoti Sadri
Chhuikhadan
Chhutmalpur
Chicalim
Chichli
Chicholi
Chidambaram
Chik Ballapur
Chikhaldara
Chikhli
Chikhli
Chikiti
Chikmagalur
Chiknayakanhalli
Chikodi
Chikrand
Chilakaluripet
Chilkana Sultanpur
Chilla Saroda Bangar
Chiloda(Naroda)
Chimbel
Chinchani
Chinchinim
Chincholi
Chinna Anuppanadi
Chinnachowk
Chinnakkampalayam
Chinnalapatti
Chinnamanur
Chinnampalayam
Chinnasalem
Chinnasekkadu
Chinnavedampatti
Chintalavalasa
Chintamani
Chiplun
Chirakkal
Chirala
Chirawa
Chirgaon
Chiria
Chirkunda
Chirmiri
Chitapur
Chitbara Gaon
Chitgoppa
Chithode
Chitlapakkam
Chitradurga
Chitrakoot
Chitrakoot Dham (Karwi)
Chittaranjan
Chittaurgarh
Chittoor
Chittur-Thathamangalam
Chockli
Chohal
Cholapuram
Chomu
Choornikkara
Chopan
Chopda
Chorvad
Choto Haibor
Choubepur Kalan
Choudwar
Choutuppal
Chowwara
Chuari Khas
Chumukedima
Chunar
Chunchupalle
Churhat
Churi
Churk Ghurma
Churu
Clement Town
Coimbatore
Colgong
Colonelganj
Colvale
Contai
Coonoor
Cooper's Camp
Courtalam
Cuddalore
Cuddapah
Cuncolim
Curchorem Cacora
Curti
Cuttack
Dabhoi
Daboh
Dabra
Dadhapatna
Dadri
Dafahat
Dagshai
Dahanu
Dahegam
Dainhat
Daitari
Dakor
Dakshin Baguan
Dakshin Jhapardaha
Dakshin Rajyadharpur
Dalavaipatti
Dalhousie
Dalhousie
Dalkhola
Dalli-Rajhara
Dallo Pura
Dalmau
Dalsinghsarai
Daltonganj
Dalurband
Daman
Damanjodi
Damnagar
Damoh
Damua
Dandeli
Danguwapasi
Dankaur
Dantewada
Dapoli Camp
Daporijo
Darappur
Darbhanga
Dargajogihalli
Dari
Dariba
Dariyabad
Darjiling
Darlawn
Daroha
Darwha
Daryapur Banosa
Dasarahalli
Dasna
Dasnapur
Dasua
Dataganj
Datia
Dattapur Dhamangaon
Daudnagar
Daulatpur
Daulatpur
Daund
Daurala
Dausa
Davanagere
Davlameti
Davorlim
Dayal Pur
Dayalbagh
Debagarh
Debipur
Deeg
Deesa
Deglur
Dehradun
Dehradun
Dehri
Dehu
Dehu Road
Delhi Cantt.
Delhi Municipal Corporation (U)
Denkanikottai
Deoband
Deodara
Deoghar
Deolali
Deolali Pravara
Deoli
Deoli
Deoli
Deomali
Deoranian
Deori
Deori
Deori
Deoria
Deorikalan
Depalpur
Dera Baba Nanak
Dera Bassi
Dera Gopipur
Deracolliery Township
Dergaon
Desaiganj
Deshnoke
Desur
Deulgaon Raja
Deuli
Dev Prayag
Devadanapatti
Devadurga
Devakottai
Devanangurichi
Devanhalli
Devarakonda
Devarshola
Devendranagar
Devgadbaria
Devgarh
Devhara
Devsar
Dewa
Dewas
Dewhadi
Dhaka
Dhakuria
Dhalavoipuram
Dhali
Dhaliyur
Dhaluwala
Dhamanagar
Dhamdha
Dhamnod
Dhampur
Dhamtari
Dhana
Dhanauha
Dhanaula
Dhanauli
Dhanaura
Dhanbad
Dhandadihi
Dhandera
Dhandhuka
Dhanera
Dhanpuri
Dhanwar
Dhanyakuria
Dhar
Dharamjaigarh
Dharamkot
Dharampur
Dharampuri
Dharangaon
Dharapadavedu
Dharapur
Dharapuram
Dharasuram
Dharchula
Dharchula Dehat
Dhariawad
Dhariwal
Dharmabad
Dharmadom
Dharmanagar
Dharmapur
Dharmapuri
Dharmavaram
Dharmsala
Dharoti Khurd
Dharuhera
Dharur
Dhatau
Dhatrigram
Dhaulpur
Dhaunsar
Dhaura Tanda
Dhaurehra
Dhekiajuli
Dhemaji
Dhenkanal
Dhilwan
Dhing
Dhola
Dholka
Dhoraji
Dhrangadhra
Dhrol
Dhubri
Dhuilya
Dhule
Dhulian
Dhupguri
Dhuri
Dhusaripara
Diamond Harbour
Dibai
Dibiyapur
Dibrugarh
Didihat
Didwana
Digapahandi
Digboi
Digboi Oil Town
Digdoh
Dighawani
Dighwara
Dignala
Digras
Digvijaygram
Diken
Dildarnagar Fatehpur Bazar
Dimapur
Dimaruguri
Dina Nagar
Dinapur Cantt.
Dinapur Nizamat
Dindigul
Dindori
Dineshpur
Dinhata
Diphu
Dipka
Dirba
Diu
Doboka
Dod Ballapur
Doda
Dogadda
Doghat
Dohad
Dohrighat
Doiwala
Dokmoka
Dola
Domjur
Dommara Nandyal
Dondaicha-Warwade
Dongar Parasia
Dongargaon
Dongragarh
Donimalai Township
Donkamokam
Doom Dooma
Dostpur
Dowleswaram
Dubrajpur
Dudhani
Dudhi
Dugda
Dulhipur
Duliajan No.1
Duliajan Oil Town
Dumar Kachhar
Dumarkunda
Dumdum
Dumka
Dumra
Dumraon
Dundahera
Dungamal
Dungargarh
Dungarpur
Dungra
Durg
Durga Nagar Part-V
Durgapur
Durgapur
Durllabhganj
Duru-Verinag
Dusi
Dwarahat
Dwarka
Dyane
Edaganasalai
Edaikodu
Edakalinadu
Edappadi
Edathala
Eddumailaram
Egarkunr
Egra
Ekambara kuppam
Ekdil
Eklahare
Eksara
Elathur
Elayavoor
Elayirampannai
Ellenabad
Eloor
Elumalai
Eluru
English Bazar
Eral
Erandol
Eranholi
Eraniel
Erattupetta
Erich
Eriodu
Erode
Erumaipatti
Eruvadi
Etah
Etawah
Ethapur
Etmadpur
Ettayapuram
Ettimadai
Ezhudesam
Faizabad
Faizabad
Faizganj
Faizpur
Falakata
Farah
Farakhpur
Faridabad
Faridkot
Faridnagar
Faridpur
Faridpur
Fariha
Farooqnagar
Farrakka Barrage Township
Farrukhabad-cum-Fatehgarh
Farrukhnagar
Fatehabad
Fatehabad
Fatehganj Pashchimi
Fatehganj Purvi
Fatehgarh
Fatehgarh Churian
Fatehnagar
Fatehpur
Fatehpur
Fatehpur
Fatehpur Chaurasi
Fatehpur Sikri
Fatellapur
Fatwah
Fazilka
Feroke
Ferozepur Jhirka
Fertilzer Corporation of IndiaTownship
Fiozpur
Firozabad
Firozpur Cantt.
Forbesganj
Freelandgunj
Frezarpur
FRI and College Area
G. Udayagiri
G.C.F Jabalpur
Gabberia
Gadag-Betigeri
Gadarpur
Gadarwara
Gadchiroli
Gaddi annaram
Gadhada
Gadhinglaj
Gadhra
Gadwal
Gagret
Gairatganj
Gairkata
Gajapathinagaram
Gajendragarh
Gajraula
Gajsinghpur
Gajularega
Gajuwaka
Gakulnagar
Galiakot
Ganapathipuram
Ganaur
Gandai
Ganderbal
Gandevi
Gandhi Nagar(Katpadi Ext.)
Gandhidham
Gandhigram
Gandhinagar
Gandhinagar
Ganeshpur
Gangaghat
Gangaikondan
Gangakhed
Ganganagar
Gangapur
Gangapur
Gangapur
Gangapur City
Gangarampur
Gangavalli
Gangawati
Gangoh
Gangotri
Gangtok
Ganguvarpatti
Ganj Dundawara
Ganj Muradabad
Ganjam
Garacharma
Garalgachha
Garautha
Gardhiwala
Garhakota
Garhi Pukhta
Garhi-Malhara
Garhmukteshwar
Garhshanker
Garhwa
Gariadhar
Garoth
Garshyamnagar
Garulia
Gaura Barhaj
Gaurella
Gauri Bazar
Gauribidanur
Gauripur
Gausganj
Gawan
Gaya
Gayespur
Geedam
Georai
Ghagga
Ghanaur
Ghansor
Ghantapada
Gharaunda
Gharghoda
Gharoli
Gharonda Neemka Bangar alias Patpar Ganj
Ghatal
Ghatampur
Ghatanji
Ghatkeser
Ghatlodiya
Ghatshila
Ghaziabad
Ghazipur
Gheora
Ghiraur
Ghitorni
Gho Manhasan
Ghoga
Ghogha
Ghoghardiha
Ghorabandha
Ghorawal
Ghorsala
Ghosi
Ghosia Bazar
Ghoti Budruk
Ghughuli
Ghugus
Ghulewadi
Ghumarwin
Ghuwara
Gidderbaha
Gidi
Gingee
Giridih
Goa Velha
Goaljan
Goalpara
Goasafat
Gobardanga
Gobichettipalayam
Gobindgarh
Gobindpur
Gobranawapara
Gochar
Godda
Godhar
Godhra
Godoli
Gogaon
Gogapur
Gogri Jamalpur
Gohad
Gohana
Gohand
Gohpur
Gokak
Gokak Falls
Gokal Pur
Gokhivare
Gokul
Gola Bazar
Gola Gokarannath
Golaghat
Golokganj
Gomoh
Gonda
Gondal
Gondiya
Goniana
Gonikoppal
Gooty
Gopalasamudram
Gopalganj
Gopalpur
Gopalpur
Gopamau
Gopiganj
Gopinathpur
Gora Bazar
Gorah Salathian
Gorakhpur
Goraya
Goredi Chancha
Goregaon
Gormi
Gosainganj
Gosainganj
Gossaigaon
Gota
Gothra
Gottikere
Goundampalayam
Govardhan
Govindgarh
Govindgarh
Greater Mumbai
GSFC Complex INA
Gua
Gubbi
Gudalur
Gudalur
Gudalur
Gudari
Gudibanda
Gudivada
Gudivada
Gudiyatham
Gudur
Guhagar
Guirim
Gulabpura
Gulaothi
Gularia Bhindara
Gulariya
Gulbarga
Guledgudda
Gulmarg
Guma
Gumia
Gumla
Gummidipoondi
Guna
Gundlupet
Gunnaur
Guntakal
Guntur
Gunupur
Gurdaspur
Gurgaon
Gurgaon Rural
Gurh
Guriahati
Gurmatkal
Gursahaiganj
Gursarai
Guru Har Sahai
Guruvayoor
Guskara
Guwahati
Gwalior
Gyalshing
Gyanpur
Habibpur
Habra
Hadgaon
Hafizpur
Haflong
Haidergarh
Hailakandi
Haileymandi
Hajan
Hajipur
Hajipur
Hajira INA
Haldaur
Haldia
Haldibari
Haldwani-cum-Kathgodam
Halisahar
Haliyal
Halol
Haludbani
Halvad
Hamirpur
Hamirpur
Hamren
Handia
Handiaya
Handwara
Hangal
Hansi
Hanumana
Hanumangarh
Hanumanthampatti
Haora
Hapur
Harda
Hardoi
Harduaganj
Hardwar
Hargaon
Harharia Chak
Hariana
Harihar
Hariharpur
Harij
Haripur
Harishpur
Harpalpur
Harpanahalli
Harrai
Harraiya
Harsud
Harur
Harveypatti
Hasanpur
Hasayan
Hassan
Hassanpur
Hastinapur
Hastsal
Hata
Hatgachha
Hathin
Hathras
Hatibandha
Hatkachora
Hatod
Hatpipalya
Hatsimla
Hatta
Hatti
Hatti Gold Mines
Haveri
Hazaribag
Hebbagodi
Hebbalu
Heggadadevanakote
Herbertpur
Heriok
Herohalli
Hesla
Highways
Hijuli
Hilsa
Himatnagar
Hindalgi
Hindaun
Hindoria
Hindupur
Hindustan Paper Corporation Ltd. Township Area Panchgram
Hindusthan Cables Town
Hinganghat
Hingoli
Hinjilicut
Hirakud
Hiranagar
Hirapur
Hirekerur
Hiriyur
Hisar
Hisua
Hnahthial
Hodal
Hojai
Holalkere
Holenarsipur
Homnabad
Honavar
Honnali
Hoovina Hadagalli
Hosabettu
Hosanagara
Hosdurga
Hoshangabad
Hoshiarpur
Hoskote
Hospet
Hosur
Howli
Howraghat
Hubbathala
Hubli-Dharwad
Hugli-Chinsurah
Hukeri
Huligal
Hunasamaranahalli
Hungund
Hunsur
Hupari
Hussainabad
Hussainpur
Hyderabad
Hyderabad M.Corp
Ibrahimpur
Ichalkaranji
Ichchapuram
Ichchhapor
Ichhapur Defence  Estate
Ichhawar
Idar
Idikarai
Idukki Township
Igatpuri
Iglas
Ikauna
Iklehra
Ilampillai
Ilanji
Ilkal
Iltifatganj Bazar
Iluppaiyurani
Iluppur
Imphal
Inam Karur
Indapur
Indergarh
Indi
"Indian Telephone Industry, Mankapur (Sp. Village)"
Indore
Indragarh
Indranagar
Indri
Injambakkam
Iringaprom
Irinjalakuda
Iriveri
Irugur
Isagarh
Islamnagar
Islampur
Islampur
Isnapur
Isri
Itanagar
Itarsi
Itaunja
Jabalpur
Jabalpur Cantt.
Jadugora
Jafarabad
Jafarpur
Jaffrabad
Jaffrabad
Jafrabad
Jagadanandapur
Jagadhri
Jagadishpur
Jagalur
Jagathala
Jagatsinghapur
Jagdalpur
Jagdishpur
Jaggayyapet
Jagiroad
Jagner
Jagraon
Jagtaj
Jagtial
Jahanabad
Jahangirabad
Jahangirpur
Jahazpur
Jainagar
Jaipur
Jairampur
Jais
Jaisalmer
Jaisinghnagar
Jaitaran
Jaithara
Jaithari
Jaitu
Jaitwara
Jajapur
Jakhal Mandi
Jala Kendua
Jalakandapuram
Jalalabad
Jalalabad
Jalalabad
Jalalabad
Jalali
Jalalpore
Jalalpur
Jalandhar
Jalandhar Cantt.
Jalaun
Jalda
Jalesar
Jaleswar
Jalgaon
Jalgaon
Jalgaon (Jamod)
Jalladiampet
Jallaram Kamanpur
Jalna
Jalor
Jalpaiguri
Jam Jodhpur
Jamadoba
Jamai
Jamalpur
Jambai
Jambusar
Jamhaur
Jamkhandi
Jamkhed
Jammalamadugu
Jammu
Jammu Cantonment
Jamnagar
Jamshedpur
Jamshila
Jamtara
Jamui
Jamul
Jamuria
Janakpur Road
Jandiala
Jandiala
Jangaon
Jangipur
Jangipur
Jansath
Jaora
Jaridih Bazar
Jarjapupeta
Jarwal
Jasdan
Jashpur nagar
Jasidih
Jaspur
Jasrana
Jaswantnagar
Jata Chhapar
Jatani
Jatara
Jatari
Jaunpur
Jawad
Jawaharnagar (Gujarat Refinery)
Jawai
Jawalamukhi
Jawar
Jawhar
Jayankondam
Jaygaon
Jaynagar Mazilpur
Jaysingpur
Jehanabad
Jejuri
Jemari
Jemari  (J.K. Nagar Township)
Jena
Jeron Khalsa
Jetia
Jetpur Navagadh
Jevargi
Jewar
Jeypur
Jhabrera
Jhabua
Jhagrakhand
Jhajha
Jhajjar
Jhalawar
Jhalda
Jhalrapatan
Jhalu
Jhanjharpur
Jhansi
Jhansi
Jhansi Rly. Settlement
Jhargram
Jharia
Jharia Khas
Jharoda Majra Burari
Jharsuguda
Jhinjhak
Jhinjhana
Jhinkpani
Jhorhat
Jhumpura
Jhumri Tilaiya
Jhundpura
Jhunjhunun
Jhusi
Jhusi Kohna
Jiaganj Azimganj
Jind
Jintur
Jiran
Jirapur
Jiribam
Jiwan Pur alias Johri Pur
Jiyanpur
Jobat
Jobner
Joda
Jodhpur
Jodhpur
Jog Falls
Jogbani
Jogendranagar
Jogindarnagar
Jolarpet
Jona Pur
Jonai Bazar
Jorapokhar
Jorethang
Jorhat
Joshimath
Joshipura
Jot Kamal
Joura
Jourian
Joya
Jubbal
Jugial
Jugsalai
Julana
Junagadh
Junagarh
Junnar
Jutogh
Jyoti Khuria
Kabnur
Kabrai
